Date,Title,Recipients,Opens,OpenPerc,Clicks,ClickPerc
15/04/2017,Beginnings,59,49,0.831,19,0.322
22/04/2017,Gatherings,68,51,0.750,18,0.265
29/04/2017,Art,73,55,0.753,22,0.301
06/05/2017,Battles,75,55,0.733,24,0.320
13/05/2017,Chaos,76,50,0.658,20,0.263
20/05/2017,Epiphanies,81,59,0.728,13,0.160
27/05/2017,Ends,96,69,0.719,26,0.271
03/06/2017,Back,102,68,0.667,21,0.206
10/06/2017,Change,105,67,0.638,19,0.181
18/06/2017,Mettle,105,71,0.676,24,0.229
24/06/2017,Help,105,66,0.629,15,0.143
01/07/2017,Gone,105,69,0.657,21,0.200
08/07/2017,Dissolution,106,68,0.642,23,0.217
15/07/2017,Leaves,106,71,0.670,21,0.198
22/07/2017,Feedback Loop,112,71,0.634,25,0.223
29/07/2017,Chart Guide,115,73,0.635,26,0.226
05/08/2017,Fowl Plague,115,73,0.635,26,0.226
26/08/2017,Woof,119,77,0.647,30,0.252
02/09/2017,Sweden,119,73,0.613,22,0.185
09/09/2017,Storms,119,71,0.597,16,0.134
16/09/2017,Woof II,119,75,0.630,22,0.185
23/09/2017,Chat,119,72,0.605,25,0.210
30/09/2017,Boycotts,119,62,0.525,21,0.178
